"","Item","Subgroup_1_Difficulty","Subgroup_1_SE","Subgroup_2_Difficulty","Subgroup_2_SE","Z","p_value"
"beta I1",1,1.40880694020968,0.30686574165666,1.8786910119223,0.437735772651746,-0.87897277357496,0.379416038306525
"beta I2",2,0.460563000898147,0.280261643514313,-0.560194442040288,0.349708200208534,2.27769117355224,0.0227449839881406
"beta I3",3,0.622699025064577,0.281931928137529,1.06045230482972,0.369861655318183,-0.941278109861044,0.346562357541686
"beta I4",4,-0.625829481082977,0.298785443655247,-0.687467846936484,0.353947771941303,0.13307150505711,0.894136830366121
"beta I5",5,-1.35480361239862,0.342251083451344,-1.24186900199023,0.383785815512393,-0.219621000911916,0.826166334341331
"beta I6",6,0.299623845938541,0.279735523853905,-0.192080968164442,0.34239464443553,1.11210698415532,0.266092154179171
"beta I7",7,0.622699023013087,0.281932244724485,0.789416508464911,0.356843940526165,-0.366590601722064,0.713924419628766
"beta I8",8,0.704642574843438,0.283214974227833,0.789416506823477,0.356843619793395,-0.186081396155475,0.852380930829457
"beta I9",9,0.380026499934943,0.279857517534208,0.789416507646635,0.356844040757255,-0.902743853970164,0.366661855857202
"beta I10",10,-1.01752047388869,0.318754558191275,-1.24186900004731,0.383785419370513,0.449691324921425,0.652933027407957
"beta I11",11,-0.625829482973107,0.298785211725061,-0.687467848365442,0.35394720941647,0.133071670532591,0.894136699499629
"beta I12",12,0.380026499033021,0.279857524375162,0.410461453167754,0.345413267725938,-0.0684613725045905,0.945418368176951
"beta I13",13,-1.47976512816666,0.352570786319073,-1.56631365381548,0.410993267866583,0.159831242473559,0.873014012512126
"beta I14",14,-2.75221239118639,0.523646972903972,-1.56631365636222,0.410992846301677,-1.78150196765702,0.0748304837312657
"beta I15",15,0.219192627388471,0.27989358218795,0.534144552000068,0.348311514972591,-0.704850947699702,0.480902998985463
"beta I16",16,-0.914578176235287,0.312772728558585,-0.192080969323168,0.342394448432153,-1.55795750112196,0.119243322924664
"beta I17",17,0.299623843304951,0.279735666241493,0.410461453167753,0.345413516418949,-0.2493646289081,0.803078743114441
"beta I18",18,-0.0239170622097409,0.282082091996562,-0.192080969915301,0.342394542151832,0.379066553815414,0.704638442300614
"beta I19",19,-0.625829485026732,0.2987850759122,-0.953419852734978,0.365846102407433,0.693530987930357,0.487976385990552
"beta I20",20,0.704642574814751,0.283214965580086,0.660232166940537,0.352089334373948,0.0982835189068271,0.921707164823064
"beta I21",21,0.956235893372024,0.289021863947147,0.922501633330907,0.362708332371623,0.072737789226065,0.942014776726488
"beta I22",22,1.13094038028395,0.294753961612478,0.789416502998531,0.356843362048063,0.737894072705305,0.460578821126064
"beta I23",23,0.704642564826204,0.283214836066332,0.660232169439512,0.352089914564744,0.0982834105952395,0.92170725082682
"beta I24",24,0.138570018196511,0.280333791240728,-0.192080968745978,0.342394710635719,0.747205397099497,0.454939586743712
"beta I25",25,-0.358956815163825,0.28935899866654,-1.56631365959442,0.410992644183315,2.40204706126542,0.0163036108176686
"beta I26",26,0.871206903936583,0.286740418723645,1.87865988765507,0.43776458050387,-1.92513927446506,0.0542119366810208
"beta I27",27,0.21919263205658,0.279893278902209,-0.560194438631099,0.349709512507315,1.73999377394675,0.0818601112095583
"beta I28",28,-0.189238720619555,0.285049093291652,-0.435642359152788,0.346427981761686,0.549240595599416,0.582840348462781
"beta I29",29,-0.534880518490033,0.295203127223913,-1.09415201523016,0.373910100501807,1.17396216537255,0.240410180430458
"beta I30",30,0.380026500326155,0.279857354424132,1.3560389926626,0.389107656624446,-2.03634488447215,0.0417157357029116
