student,rater,style,org,conv,sent_form
3,1,3,3,3,3
3,2,3,3,3,4
3,3,3,3,2,3
3,4,3,4,3,4
3,5,4,4,3,4
3,6,4,4,3,3
3,7,2,3,2,3
3,8,3,3,3,3
3,9,3,3,3,3
3,10,3,2,3,4
3,11,3,3,3,4
3,12,3,3,3,3
3,13,2,3,2,3
3,14,2,2,3,3
3,15,3,3,3,4
3,16,3,3,3,3
3,17,3,3,3,4
3,18,2,3,2,3
3,19,2,3,3,4
3,20,3,3,3,4
3,21,2,3,3,3
7,1,3,3,4,4
7,2,4,3,4,4
7,3,3,3,4,4
7,4,4,4,4,4
7,5,2,3,3,4
7,6,2,3,4,4
7,7,2,4,3,4
7,8,3,3,3,4
7,9,2,3,3,3
7,10,3,4,3,4
7,11,4,3,4,4
7,12,4,3,3,4
7,13,3,4,3,4
7,14,2,3,4,4
7,15,2,3,3,3
7,16,3,4,3,4
7,17,2,3,3,3
7,18,3,3,3,4
7,19,3,4,4,4
7,20,2,3,3,4
7,21,3,3,4,4
11,1,3,3,3,4
11,2,3,3,3,4
11,3,3,3,3,3
11,4,3,3,3,4
11,5,3,3,3,3
11,6,4,4,4,4
11,7,3,4,3,4
11,8,3,3,3,4
11,9,3,3,3,3
11,10,3,3,3,4
11,11,3,3,3,4
11,12,3,3,3,3
11,13,3,4,3,4
11,14,3,3,3,3
11,15,3,3,3,3
11,16,3,4,3,4
11,17,3,3,3,3
11,18,3,3,3,3
11,19,3,3,4,4
11,20,3,3,3,4
11,21,2,3,4,4
15,1,1,1,2,2
15,2,1,1,1,2
15,3,1,1,2,2
15,4,2,2,2,2
15,5,1,1,2,2
15,6,1,1,2,2
15,7,2,2,2,3
15,8,1,2,2,2
15,9,1,1,2,2
15,10,1,1,3,3
15,11,1,2,2,2
15,12,2,2,2,3
15,13,2,2,2,2
15,14,1,2,1,1
15,15,1,2,3,2
15,16,1,2,2,2
15,17,2,2,3,3
15,18,1,2,3,2
15,19,1,2,3,3
15,20,1,2,2,3
15,21,1,1,2,3
20,1,2,2,2,3
20,2,2,2,2,3
20,3,2,2,2,2
20,4,3,3,3,4
20,5,3,2,3,3
20,6,2,2,3,3
20,7,2,3,3,3
20,8,2,2,2,3
20,9,2,2,2,3
20,10,2,2,2,2
20,11,2,2,2,3
20,12,3,2,3,3
20,13,2,2,2,3
20,14,1,1,2,2
20,15,2,2,3,3
20,16,2,2,2,3
20,17,2,2,3,3
20,18,2,1,2,3
20,19,2,2,2,3
20,20,2,2,2,3
20,21,3,2,2,3
24,1,1,1,2,2
24,2,1,1,1,2
24,3,1,1,2,2
24,4,1,1,2,2
24,5,1,1,2,2
24,6,1,1,2,2
24,7,1,1,1,1
24,8,1,2,2,2
24,9,1,1,1,1
24,10,1,1,1,2
24,11,1,1,1,2
24,12,1,2,1,2
24,13,1,1,2,2
24,14,1,1,2,2
24,15,1,1,1,2
24,16,1,1,2,2
24,17,2,1,1,1
24,18,1,1,1,2
24,19,1,1,2,2
24,20,1,1,2,2
24,21,1,1,2,2
28,1,3,3,3,3
28,2,3,3,3,3
28,3,4,4,4,4
28,4,3,3,3,3
28,5,2,3,4,4
28,6,2,2,3,3
28,7,2,3,2,3
28,8,3,2,3,4
28,9,3,2,3,3
28,10,3,2,3,3
28,11,3,2,3,3
28,12,2,3,2,3
28,13,3,2,3,2
28,14,2,2,4,4
28,15,2,3,3,3
28,16,3,3,3,3
28,17,3,3,3,3
28,18,3,2,4,3
28,19,3,2,3,3
28,20,2,2,3,3
28,21,3,3,4,4
32,1,3,3,3,3
32,2,3,3,3,3
32,3,3,3,4,4
32,4,3,3,3,3
32,5,3,3,3,4
32,6,4,3,4,4
32,7,3,3,4,4
32,8,3,2,3,4
32,9,2,2,3,3
32,10,4,2,3,3
32,11,2,2,3,3
32,12,3,2,3,3
32,13,3,3,3,3
32,14,3,3,4,4
32,15,4,3,3,4
32,16,3,3,3,3
32,17,3,3,4,3
32,18,3,2,3,3
32,19,3,3,3,3
32,20,3,3,3,3
32,21,3,3,3,3
36,1,4,3,4,4
36,2,3,3,4,4
36,3,3,3,4,4
36,4,4,3,4,4
36,5,3,3,3,4
36,6,4,3,4,4
36,7,4,4,4,4
36,8,3,3,4,4
36,9,3,3,4,4
36,10,4,4,4,4
36,11,3,3,3,4
36,12,4,3,4,3
36,13,3,3,3,3
36,14,3,3,4,4
36,15,3,3,4,4
36,16,3,4,3,4
36,17,3,3,4,4
36,18,3,3,4,3
36,19,3,4,4,3
36,20,3,3,4,4
36,21,3,3,3,4
41,1,3,2,3,3
41,2,3,3,2,3
41,3,3,2,2,3
41,4,3,3,3,4
41,5,3,3,3,3
41,6,2,2,3,4
41,7,2,2,3,3
41,8,2,2,2,3
41,9,2,2,2,3
41,10,2,2,3,3
41,11,3,3,2,3
41,12,2,3,3,3
41,13,2,2,2,2
41,14,2,2,2,3
41,15,2,3,2,3
41,16,2,2,3,3
41,17,2,2,3,3
41,18,3,3,3,3
41,19,2,3,3,3
41,20,2,2,2,2
41,21,2,2,3,3
45,1,2,2,3,3
45,2,3,3,3,3
45,3,2,2,2,3
45,4,2,2,2,3
45,5,2,2,2,2
45,6,2,3,2,3
45,7,2,3,3,3
45,8,2,2,2,3
45,9,3,2,3,3
45,10,2,2,2,3
45,11,3,3,3,3
45,12,3,3,2,3
45,13,2,3,3,3
45,14,2,2,3,3
45,15,3,3,3,3
45,16,2,2,3,3
45,17,2,2,3,3
45,18,2,2,3,3
45,19,3,3,3,3
45,20,2,2,3,3
45,21,2,3,3,3
49,1,4,4,4,4
49,2,4,4,4,4
49,3,4,4,4,3
49,4,4,4,4,4
49,5,4,4,4,4
49,6,4,4,4,4
49,7,4,4,4,4
49,8,4,4,4,4
49,9,4,4,4,4
49,10,4,4,4,4
49,11,4,4,4,4
49,12,4,4,4,4
49,13,4,4,4,4
49,14,4,4,4,4
49,15,4,4,4,4
49,16,4,4,4,4
49,17,4,4,4,4
49,18,4,4,4,4
49,19,4,4,4,4
49,20,3,4,4,4
49,21,4,4,4,4
53,1,3,3,2,2
53,2,2,3,2,3
53,3,2,2,2,2
53,4,3,3,2,3
53,5,2,2,3,3
53,6,2,3,2,2
53,7,3,4,3,3
53,8,2,2,2,1
53,9,2,2,3,3
53,10,3,4,4,4
53,11,3,3,3,3
53,12,2,3,2,2
53,13,2,3,2,3
53,14,3,2,2,2
53,15,3,4,3,4
53,16,2,2,3,2
53,17,2,2,2,2
53,18,2,2,2,2
53,19,2,2,3,3
53,20,3,4,3,4
53,21,3,4,3,4
57,1,2,2,2,3
57,2,2,2,2,3
57,3,2,2,2,3
57,4,2,3,2,3
57,5,2,2,2,2
57,6,2,2,2,3
57,7,2,1,1,2
57,8,2,2,2,3
57,9,2,2,2,2
57,10,3,2,2,3
57,11,2,2,2,3
57,12,2,2,3,3
57,13,2,2,2,3
57,14,2,2,3,3
57,15,3,2,3,3
57,16,2,1,2,2
57,17,2,2,2,2
57,18,2,2,2,3
57,19,1,1,2,2
57,20,2,2,1,3
57,21,2,2,2,2
62,1,4,3,4,4
62,2,3,3,3,4
62,3,4,4,4,4
62,4,3,3,4,4
62,5,3,3,4,3
62,6,4,3,4,4
62,7,4,4,4,4
62,8,4,4,4,4
62,9,4,4,4,4
62,10,4,3,3,4
62,11,4,4,4,4
62,12,3,3,3,4
62,13,4,4,4,4
62,14,4,3,4,4
62,15,4,4,4,4
62,16,4,4,3,4
62,17,3,4,4,4
62,18,4,3,4,4
62,19,3,2,3,3
62,20,3,3,3,4
62,21,4,3,3,4
66,1,3,3,2,2
66,2,3,3,3,3
66,3,2,2,2,3
66,4,3,2,2,2
66,5,3,3,2,3
66,6,2,2,2,2
66,7,3,3,3,3
66,8,2,2,2,2
66,9,2,2,2,2
66,10,2,2,3,2
66,11,3,2,3,2
66,12,3,2,3,2
66,13,3,3,2,2
66,14,2,2,3,2
66,15,3,2,2,2
66,16,2,2,2,2
66,17,3,2,3,3
66,18,3,3,2,2
66,19,3,2,3,2
66,20,2,3,2,2
66,21,2,2,3,3
70,1,3,3,3,3
70,2,3,2,3,3
70,3,3,3,3,4
70,4,3,3,3,3
70,5,4,4,4,4
70,6,4,4,4,4
70,7,3,4,4,4
70,8,4,3,4,4
70,9,3,3,3,3
70,10,3,3,3,4
70,11,3,3,3,4
70,12,3,3,3,3
70,13,4,3,3,3
70,14,3,2,3,3
70,15,4,3,3,4
70,16,3,3,3,4
70,17,3,3,3,3
70,18,3,3,3,3
70,19,4,3,3,4
70,20,3,4,3,4
70,21,3,3,4,4
74,1,3,2,3,3
74,2,3,3,3,3
74,3,2,3,3,3
74,4,2,2,2,3
74,5,2,3,3,3
74,6,3,3,3,3
74,7,3,4,4,4
74,8,3,3,3,4
74,9,2,2,2,2
74,10,2,3,3,4
74,11,3,3,3,3
74,12,2,3,3,3
74,13,2,2,3,3
74,14,2,2,2,3
74,15,2,3,2,3
74,16,2,3,3,3
74,17,1,1,3,3
74,18,2,2,2,2
74,19,2,1,2,3
74,20,3,3,3,4
74,21,1,3,4,4
78,1,3,3,3,3
78,2,3,2,3,4
78,3,2,2,3,3
78,4,2,3,3,3
78,5,3,4,4,4
78,6,3,3,4,4
78,7,2,3,3,4
78,8,2,3,3,4
78,9,3,3,4,3
78,10,2,3,3,4
78,11,3,3,3,3
78,12,3,3,3,3
78,13,2,3,3,3
78,14,2,3,3,3
78,15,3,3,3,3
78,16,3,3,3,3
78,17,3,3,3,3
78,18,3,3,3,4
78,19,3,3,3,3
78,20,3,2,3,3
78,21,3,2,3,3
83,1,4,3,3,3
83,2,4,3,3,3
83,3,4,4,3,4
83,4,3,2,3,3
83,5,4,4,4,4
83,6,2,2,3,2
83,7,2,4,3,4
83,8,3,2,3,3
83,9,3,3,2,3
83,10,4,3,4,4
83,11,3,3,3,3
83,12,4,3,3,4
83,13,3,3,2,3
83,14,3,3,4,4
83,15,4,3,3,4
83,16,3,3,3,3
83,17,3,3,3,3
83,18,3,2,2,2
83,19,3,2,3,3
83,20,3,3,3,3
83,21,4,3,3,4
87,1,3,3,3,4
87,2,2,2,3,3
87,3,3,3,3,3
87,4,3,3,3,3
87,5,2,3,3,3
87,6,3,3,3,3
87,7,2,3,3,4
87,8,3,3,3,3
87,9,2,3,3,3
87,10,3,3,4,4
87,11,3,3,3,4
87,12,3,3,3,3
87,13,3,2,2,3
87,14,2,2,3,3
87,15,3,4,3,4
87,16,2,3,3,3
87,17,3,2,3,3
87,18,3,3,2,3
87,19,3,3,3,4
87,20,3,3,3,4
87,21,3,3,4,4
91,1,4,4,4,4
91,2,4,3,3,3
91,3,3,3,4,4
91,4,4,4,3,3
91,5,4,4,4,4
91,6,4,4,4,4
91,7,4,4,4,4
91,8,3,3,3,4
91,9,3,3,4,4
91,10,4,3,3,3
91,11,3,3,3,3
91,12,3,3,3,3
91,13,4,4,4,4
91,14,4,4,4,4
91,15,4,3,3,4
91,16,3,3,3,3
91,17,4,3,4,3
91,18,4,4,3,3
91,19,3,4,3,3
91,20,4,3,4,4
91,21,4,3,3,4
95,1,4,4,4,4
95,2,4,3,4,4
95,3,4,4,4,4
95,4,3,3,3,3
95,5,4,4,4,4
95,6,3,4,3,4
95,7,3,3,3,4
95,8,3,2,4,4
95,9,4,4,4,4
95,10,4,3,4,4
95,11,4,3,3,4
95,12,3,3,3,3
95,13,3,4,3,3
95,14,3,2,4,3
95,15,3,3,3,4
95,16,2,3,3,3
95,17,3,3,4,4
95,18,4,3,4,4
95,19,3,3,4,4
95,20,3,4,4,4
95,21,3,3,4,4
99,1,4,3,3,4
99,2,4,4,4,4
99,3,3,3,3,4
99,4,4,3,3,3
99,5,4,4,3,4
99,6,2,3,3,3
99,7,4,4,4,4
99,8,4,4,3,4
99,9,3,3,3,4
99,10,3,3,3,4
99,11,4,4,3,4
99,12,4,4,4,4
99,13,4,4,3,4
99,14,3,4,3,4
99,15,4,4,4,4
99,16,3,3,3,4
99,17,3,3,4,4
99,18,4,3,3,3
99,19,4,4,4,4
99,20,4,4,3,4
99,21,3,4,4,4
104,1,4,3,4,4
104,2,4,3,4,4
104,3,3,4,4,4
104,4,3,3,4,4
104,5,3,4,4,4
104,6,3,3,4,3
104,7,4,4,4,4
104,8,3,3,4,3
104,9,3,3,4,4
104,10,3,3,4,3
104,11,4,4,4,4
104,12,3,3,4,4
104,13,4,4,3,3
104,14,3,3,4,4
104,15,4,4,3,4
104,16,4,4,4,4
104,17,3,3,4,3
104,18,4,3,3,4
104,19,3,3,3,3
104,20,4,4,4,4
104,21,3,3,4,4
108,1,3,3,4,4
108,2,3,3,3,3
108,3,3,3,3,4
108,4,3,3,4,4
108,5,3,3,3,3
108,6,4,3,4,4
108,7,3,4,3,4
108,8,4,3,4,4
